MOVIES,SENTENCE,tag,word
Blood Red Sky,SENTENCE  #0,DT,a
,,NN,woman
,,IN,with
,,DT,a
,,JJ,mysterious
,,NN,illness
,,VBZ,is
,,VBN,forced
,,IN,into
,,NN,action
,,WRB,when
,,DT,a
,,NN,group
,,IN,of
,,NNS,terrorists
,,VBP,attempt
,,TO,to
,,VB,hijack
,,DT,a
,,JJ,transatlantic
,,NN,overnight
,,NN,flight
Masters of the Universe: Revelation,SENTENCE  #1,DT,the
,,NN,war
,,IN,for
,,NN,eternia
,,NNS,begins
,,RB,again
,,JJ,final
,,NN,battle
,,IN,between
,,PRP,he
,,NN,man
,,CC,and
,,VB,skeletor
,,DT,a
,,JJ,new
,,JJ,animated
,,NN,series
,,IN,from
,,JJ,writer
,,NN,director
,,NN,kevin
,,NN,smith
The Walking Dead,SENTENCE  #2,JJ,sheriff
,,NN,deputy
,,NN,rick
,,NNS,grimes
,,VBP,wakes
,,RP,up
,,IN,from
,,DT,a
,,NN,coma
,,TO,to
,,VB,learn
,,DT,the
,,NN,world
,,VBZ,is
,,IN,in
,,NNS,ruins
,,CC,and
,,MD,must
,,VB,lead
,,DT,a
,,NN,group
,,IN,of
,,NNS,survivors
,,TO,to
,,VB,stay
,,JJ,alive
Rick and Morty,SENTENCE  #3,DT,an
,,JJ,animated
,,NN,series
,,WDT,that
,,VBZ,follows
,,DT,the
,,NNS,exploits
,,IN,of
,,DT,a
,,JJ,super
,,NN,scientist
,,CC,and
,,PRP$,his
,,RB,not
,,RB,so
,,JJ,bright
,,NN,grandson
Army of Thieves,SENTENCE  #4,DT,a
,,NN,prequel
,,VBN,set
,,IN,before
,,DT,the
,,NNS,events
,,IN,of
,,NN,army
,,IN,of
,,DT,the
,,JJ,dead
,,WDT,which
,,VBZ,focuses
,,IN,on
,,JJ,german
,,NN,safecracker
,,NN,ludwig
,,NN,dieter
,,VBG,leading
,,DT,a
,,NN,group
,,IN,of
,,VBG,aspiring
,,NNS,thieves
,,IN,on
,,DT,a
,,JJ,top
,,JJ,secret
,,NN,heist
,,IN,during
,,DT,the
,,JJ,early
,,NNS,stages
,,IN,of
,,DT,the
,,NN,zombie
,,NN,apocalypse
Outer Banks,SENTENCE  #5,DT,a
,,NN,group
,,IN,of
,,NNS,teenagers
,,IN,from
,,DT,the
,,JJ,wrong
,,NN,side
,,IN,of
,,DT,the
,,NNS,tracks
,,JJ,stumble
,,IN,upon
,,DT,a
,,NN,treasure
,,NN,map
,,WDT,that
,,VBZ,unearths
,,DT,a
,,JJ,long
,,JJ,buried
,,NN,secret
The Last Letter from Your Lover,SENTENCE  #6,DT,a
,,NN,pair
,,IN,of
,,JJ,interwoven
,,NNS,stories
,,VBN,set
,,IN,in
,,DT,the
,,JJ,past
,,CC,and
,,JJ,present
,,VB,follow
,,DT,an
,,JJ,ambitious
,,NN,journalist
,,VBD,determined
,,TO,to
,,VB,solve
,,DT,the
,,NN,mystery
,,IN,of
,,DT,a
,,JJ,forbidden
,,NN,love
,,NN,affair
,,IN,at
,,DT,the
,,NN,center
,,IN,of
,,DT,a
,,NN,trove
,,IN,of
,,JJ,secret
,,NN,love
,,NNS,letters
,,IN,from
,,CD,1965
Dexter,SENTENCE  #7,IN,by
,,NN,day
,,NNS,mild
,,VBN,mannered
,,NN,dexter
,,VBZ,is
,,DT,a
,,NN,blood
,,NN,spatter
,,NN,analyst
,,IN,for
,,DT,the
,,JJ,miami
,,NN,police
,,CC,but
,,IN,at
,,NN,night
,,PRP,he
,,VBZ,is
,,DT,a
,,JJ,serial
,,NN,killer
,,WP,who
,,RB,only
,,VBZ,targets
,,JJ,other
,,NNS,murderers
Never Have I Ever,SENTENCE  #8,DT,the
,,JJ,complicated
,,NN,life
,,IN,of
,,DT,a
,,JJ,modern
,,NN,day
,,JJ,first
,,NN,generation
,,JJ,indian
,,JJ,american
,,NN,teenage
,,NN,girl
,,VBN,inspired
,,IN,by
,,NN,mindy
,,VBG,kaling
,,JJ,s
,,JJ,own
,,NN,childhood
Virgin River,SENTENCE  #9,VBG,seeking
,,DT,a
,,JJ,fresh
,,NN,start
,,NN,nurse
,,NN,practitioner
,,VBD,melinda
,,JJ,monroe
,,NNS,moves
,,IN,from
,,JJ,los
,,NNS,angeles
,,TO,to
,,DT,a
,,JJ,remote
,,JJ,northern
,,NN,california
,,NN,town
,,CC,and
,,VBZ,is
,,VBN,surprised
,,IN,by
,,WP,what
,,CC,and
,,WP,who
,,PRP,she
,,VBZ,finds
Gunpowder Milkshake,SENTENCE  #10,CD,three
,,NNS,generations
,,IN,of
,,NNS,women
,,VBD,fight
,,RP,back
,,IN,against
,,DT,those
,,WP,who
,,MD,could
,,VB,take
,,NN,everything
,,IN,from
,,PRP,them
Lucifer,SENTENCE  #11,NN,lucifer
,,NN,morningstar
,,VBZ,has
,,VBN,decided
,,PRP,he
,,VB,s
,,VBD,had
,,NN,enough
,,IN,of
,,VBG,being
,,DT,the
,,NN,dutiful
,,NN,servant
,,IN,in
,,NN,hell
,,CC,and
,,VBZ,decides
,,TO,to
,,VB,spend
,,DT,some
,,NN,time
,,IN,on
,,NN,earth
,,TO,to
,,JJR,better
,,NN,understand
,,NN,humanity
,,PRP,he
,,VBZ,settles
,,IN,in
,,NN,los
,,VBZ,angeles
,,DT,the
,,NN,city
,,IN,of
,,NNS,angels
Fear Street: 1994,SENTENCE  #12,DT,a
